Title,Ingredients,Steps,Loves,URL
Nugget tempe sayur ayam,1 potong Tempe--1/4 daging ayam cincang--1/2 potong wortel--2 biji daun bawang--2 buah kacang panjang--2 butir telur--Tepung roti / tepung panir--Garam--Gula--Lada--Bawang merah--Bawang putih--1 lembar daun pisang untuk mengukus--,"Potong dadu tempe lalu kukus--Iris daun bawang, wortel dan kacang panjang sesuai selera--Ulek bawang putih, bawang merah, garam, gula dan lada--Penyetkan tempe dan campurkan dengan semua bahan lalu tambahkan telur dan aduk rata--Kukus adonan dengan daun pisang hingga matang--Potong2 sesuai selera lalu masukan ke dalam telur lalu masukan ke dalam tepung roti--Setelah itu boleh di simpan di freezer bisa bertahan sampai 1-2minggu dan jika ingin di makan tinggal di goreng👌🏻--",6,/id/resep/4411253-nugget-tempe-sayur-ayam
"2T 1S, Tumis Tauge Tempe Sosis",3 bh sosis--3 genggam tauge--Tempe secukupnya potong dadu--3 siung bawang putih--5 siung bawang merah--5 bh cabe rawit--4 bh cabe merah keriting--1 bungkus bumbu instan racik tumis--1/2 sdt kecap--,"Goreng tempe sampai berubah warna, angkat & tiriskan--Tumis bumbu, bawang putih & merah sampai harum kemudian masukkan cabe--Masukkan sosis, tempe & tauge yg telah di cuci bersih tumis hingga agak layu--Masukkan 1 bungkus bumbu instan racik tumis, kemudian tambahkan kecap--Cek rasa, boleh pakai air atau tidak (kalau saya tidak) jadi deh--",5,/id/resep/4410967-2t-1s-tumis-tauge-tempe-sosis
Bakso tempe,2 papan tempe--7 sdm terigu--7 sdm tapioka--Daun kucai--secukupnya Garam--2 siung bawang putih--sedikit Merica--,"Rebus tempe sampai empuk,tiriskan--Ulek bawang putih,merica dan garam smpe halus lalu ulek kasar tempe campur dgn bumbu tadi,tiriskan--Masukan terigu,tapioka aduk rata lalu masukan tempe yg di ulek bersama bumbu,daun kucai uleni smpe kalis/bs di bentuk jika bergerindil ksh air panas dikit""..cek rasa--Ambil sedikit adonan lalu bentuk bulat,lakukan smpe adonan habis--Rebus air sampe mendidih lalu masukan adonan yg sudah di bulatkan,masak hingga adonan mengambang/matang...--Bakso siap di makan dgn saos ato bisa goreng--",3,/id/resep/4411168-bakso-tempe
Tempe saus mentega with bakso,1/2 papan tempe potong dadu--10 butir bakso belah jadi dua--1/2 bawang bombay--3 bawang putih--1 daun bawang--1 sdt kecap manis--1/2 tomat--1 sdt saori saus mentega--secukupnya Garam--Sedikit merica--,"Goreng tempe terlebih dahulu lalu angkat dan tiriskan--Tumis bawang putih dan bawang bombay lalu masukan tomat dan daun bawang--Masukan tempe dan bakso lalu tambahkan kecap, saus sambal, merica, garam, penyedap rasa, dan saori saus mentega--Aduk rata sebentar dan tambahkan 1/2 gelas air atau sekitar 100 ml--Tunggu sampai air menyerap lalu angkat dan sajikan--",7,/id/resep/4384453-tempe-saus-mentega-with-bakso
Tahu Tempe Bacem,"2 butir Kelapa (airnya saja)--1 papan Tempe, potong2 sesuai selera--6 kotak Tahu--2 helai Daun Salam--3 batang Serai, digeprek--2 cm Lengkuas, memarkan--2 sdm Kecap Manis--Bahan Halus :--100 gr Gula Merah--6 Bawang Merah--4 Bawang Putih--1/2 sdm Ketumbar--1/2 sdt Garam--","Masukkan Bumbu Halus ke dalam rebusan Air Kelapa bersama Daun Salam, Serai, Lengkuas dan Kecap Manis.--Masukkan Tahu Tempe (posisi Tahu di atas Tempe agar tidak hancur Tahu nya) lalu ungkep hingga air tinggal sedikit. Angkat, tiriskan.--Goreng Tahu Tempe di atas api sedang hingga kecokelatan jangan terlalu kering. Angkat dan sajikan.--",2,/id/resep/1176819-tahu-tempe-bacem
Tumis labu siam tempe,250 gram labu siam / 2 buah labu yg besar--150 gram tempe / 1 papan tempe dibagi 2--3 buah tomat (iris2)--450 ml santan dari 1/4 butir kelapa--2 cm lengkuas--2 lembar daun salam--1 sendok teh gula & garam--Minyak goreng secukupnya untuk menumis--Bumbu yang Dihaluskan--3 siung bawang putih--6 butir bawang merah--1 1/2 sendok teh ebi--3 buah cabai merah--,"Pertama-tama buang getah labu siam yang telah anda siapkan. Dimana caranya yaitu potong labu siam. Lalu gosok-gosokan hingga getah labu siam keluar. Setelah itu, kupas labu siam dan potong Sesuai selera (kalau saya berantakan). Lalu cuci denganmenggunakan air bersih.--Selanjutnya, potong kotak tempe yang telah anda siapkan. Lalu panaskan minyak secukupnya pada wajan. Apabila minyak telah panas, anda bisa langsung menggoreng tempe yang telah dipotong-potong tersebut hingga berkulit.--Kemudian, potong-potong tomat dan memarakan lengkuas.4.Setelah itu, seduh ebi yang telah disiapkan. Lalu sangarai.--Haluskan semua bumbu halus beserta ebi yang telah disangrai. Anda bisa menghaluskannya dengan cara ditumbuk atau diblender.--Panaskan minyak goreng secukupnya. Apabila minyak telah panas, anda bisa langsung memasukan semua bumbu yang telah dihaluskan, lengkuas dan daun salam.Tumis bumbu-bumbu tersebut sampai tercium harum. Jika sudah seperti itu, anda bisa langsung menambahkan tomat. Aduk hingga tomat menjadi layu.--Setelah itu, tambahkan labu siam yang telah anda potong, tempe yang telah digoreng beserta petai cina. Aduk semua bahan tersebut sampai merata.--Selanjutnya, masukan santan beserta bumbu-bumbu seperti garam dan gula merah. Aduk merata hingga bumbu menjadi larut. Lalu masak kembali hingga semua bahan matangdan bumbu meresap dengan sempurna. Apabila telah dirasa matang anda bisa langsung menyajikannya pada piring saji yang telah disiapkan.--",1,/id/resep/4410476-tumis-labu-siam-tempe
4.Tempe kobe,1 papan tempe(iris tipis/sesuai selera)--3 sdm tepung bumbu kobe--Bumbu halus:--1 siung bawang putih--1/2 sdt garam--secukupnya Minyak goreng--,Rendam tempe iris dalam bumbu halus ±5menit--Masukkan ke tepung bumbu kering dan goreng dengan api kecil sampai menguning. Angkat tiriskan--Hidangkan hangat--,2,/id/resep/4410687-4tempe-kobe
Tumis kacang panjang with tempe dan baso,"Kacang panjang--Tempe--Baso--Bawang merah--Bawang putih--Cabe merah kriting--Cabe rawit--Saos tiram--Garam, gula dan bumbu penyedap--","Tumis duo bawang dan cabe--Masukan kacang panjang tambahkan air sedikit dan beri saos tiram--Kemudian masukan tempe dan baso aduk rata--Tambahkan gula dan garam juga bumbu penyedap, tes rasa--Selamat mencoba--",6,/id/resep/4410781-tumis-kacang-panjang-with-tempe-dan-baso
Tumis Pare Tempe,"4 bh pare--1/2 papan tempe, iris bentuk korek api halus--1 sdm garam halus--Bumbu :--Cabe sesuai selera, pedas lebih mantap bun--5 siung bawang merah--2 siung bawang putih--2 lbr daun salam--1 ruas lengkuas geprek--Sedikit air--secukupnya Minyak--secukupnya Masako/royco--","Belah 2 pare buang bijinya. Lalu iris tipis dan remas2 pare dengan garam sampai lemas. Cuci bersih.--Haluskan cabe, bawang merah & bawang putih.--Panaskan minyak, tumis bumbu halus dan masukkan lengkuas dan daun salam. Masak sampai harum.--Masukkan pare dgn secukupnya air, aduk rata.--Setelah setengah matang masukkan tempe iris. Aduk rata hingga bumbu tercampur.--Lalu masukkan penyedap rasa. Masak hingga matang sampai air menyusut. Dan jangan lupa utk tes rasa.--Tumis Pare Tempe siap disajikan.--",2,/id/resep/4410829-tumis-pare-tempe
"Tumis Tempe Oyong ""Saos Tiram""",2 buah oyong uk. Kecil--1 papan tempe uk. Sedang--Secukupnya saos tiram--Secukupnya air--Secukupnya garam. Gula. Merica bubuk dan kaldu bubuk--Bumbu👇--4 siung bawang merah. Iris--3 biji cabe merah keriting. Iris--1 buah tomat. Iris--3 siung Bawang putih. Geprek. Cincang--,Kupas oyong. Cuci bersih. Kemudian Potong2--Potong2 tempe. Goreng setengah matang. Angkat. Sisihkan--Tumis bumbu2 sampai harum. Masukkan tempe. Aduk2. Masukkan oyong. Aduk2. Kemudian masukkan secukupnya air. Tambahkan saos tiram. Garam. Gula. Merica bubuk dan kaldu bubuk. Masak sampai matang. Jangan lupa tes rasa ya... 😊--Sajikan...--,8,/id/resep/4410515-tumis-tempe-oyong-saos-tiram
Botok tempe cumi,3 ekor Cumi  besar (adanya dikulkas itu)--1/2 papan Tempe--1 kotak Tahu--secukupnya Kelapa parut  disesuikan dengan jumlah anggota kelurga--3 ekor Ikan asin--Petai cina alias lamtoro--Tomat--Air--Bahan bumbu halus--sesuai selera Cabe--Bawang merah--Bawang putih--Kunyit--Kencur--Daun jeruk--Ketumbar--Garam--Penyedap rasa--,Persiapkan bahan--Iris cabe hijau tomat dan isian botok--Haluskan bumbu--Tumis bumbu hingga harum--Kemudian masukkan isian tumis sampai harum dan setengah masak--Masukkan kelapa aduk rata sampai benar benar masak sempurna--Jangan lupa tmbahkan air ya biar bumbu meresap sempurna--,1,/id/resep/1673450-botok-tempe-cumi
Gulai Telur Tempe Ala2 (Tnp Santan),"1 buah Tempe--2 butir Telur--Cabe Rawit Secukupnya (diiris bulat2)--Daun Bawang Secukupnya (dirajang)--Bumbu Gulai (sisa beli dipasar)--Secukupnya Garam Halus--secukupnya Penyedap Rasa (klw saya pakai Royco)--Gula (sedikit, seujung sendok)--Secukupnya Air--Minyak Makan utk menumis--","Terlebih dahulu rebus 2 butir telur bulat sampai matang, kemudian sisihkan--Panaskan minyak makan kemudian masukkan dan tumis bumbu Gulai--Masukkan cabe rawit yg sudah diiris, tumis bersamaan bumbu gulai--Tambahkan air secukupnya (sesuai selera) lalu tunggu sampai mendidih--Masukkan tempe yang sudah dirajang + telur (sudah dikupas)--Tambahkan Garam Halus, Penyedap Rasa (sy pakai royco) dan gula, disusul daun bawang--Tunggu sampai mendidih sempurna, Angkat, Siap Disajikan (karena saya suka pedas jadi rawitnya agak banyak, dan gulanya sedikit, semua tergantung selera)--",6,/id/resep/4410206-gulai-telur-tempe-ala2-tnp-santan
Orek Tempe,"1/2 papan tempe, potong2--2 siung bawang putih, iris2--2 siung bawang merah, iris2--2 cabe merah besar, iris serong--3 sdm kecap manis--2 sdm gula pasir--secukupnya Garam--2 lembar daun salam--2 ruas jari lengkuas geprek--3 sdm air--","Goreng tempe sampai setengah matang, sisihkan.--Tumis duo bawang dan cabai smp harum.--Masukkan tempe, daun salam dan lengkuas, oseng2 sebentar.--Masukkan air, kecap, gula pasir dan garam.--Tes rasa dan orek tempe siap disantap.--",8,/id/resep/4409967-orek-tempe
Oreg tempe kering,1 papan tempe--3 biji cabai merah keriting--7 biji cabai rawit(Kalo suka pedes)--8 butir bawang merah--5 butir bawang putih--2 lembar daun salam--3 lembar daun jeruk--1 ruas lengkuas geprek--1 gula merah--3 sdm kecap manis--1/2 bungkus asam jawa--secukupnya Gula pasir--secukupnya Garam--secukupnya Lada--50 ml Air--,"Potong tempe dengan ukuran korek api,goreng hingga kecoklatan.sisihkan--Iris bawang merah,putih,cabai tumis hingga matang tambahkan daun salam,jeruk,lengkuas aduk sampai harum.--Tambahkan air,gula merah,kecap,garam, gula pasir,dan lada aduk sampai mengental,tes rasa--Terakhir masukkan tempe aduk hingga rata.tempe oreg siap d sajikan 😊--",8,/id/resep/4410454-oreg-tempe-kering
Perkedel Tempe,1 balok kecil tempe--2 buah bawang merah--2 buah bawang putih--Secukupnya garam--1/2 sdt merica bubuk--Secukupnya penyedap rasa (Royco)--1 butir telur--,"Kukus Tempe sekitar 10 menit--Haluskan semua bumbu--Setelah Bumbu halus,--Masukkan hasil kukusan Tempe Dan haluskan tempe--Campur rata Dan masukkan sedikit Demi sedikit penyedap rasa (Royco) sampai rasanya pas--Kemudian bulatkan Dan pipihkan adonan tempe--Dan kemudian baluri dengan telur kocok--Dan goreng sampai kuning keemasan--",43,/id/resep/4409462-perkedel-tempe
Mendol tempe,1/2 papan tempe--Secuil kelapa--2-3 sdm terigu--Bumbu halus--2 bh cabe--1 bh cabe keriting--2 siung bawang merah--2 siung bawang putih--Secuil tempe bosok--Secukupnya Garam--Secukupnya Gula--,Siapkan bahan2nya--Parut kelapa.haluskan tempe.uleg bumbu halus--Campurkan kelapa parut tempe halus dan bumbu halus aduk rata.masukan terigu aduk rata--Cetak sesuai selera--Panaskan minyak dan goreng hingga kuning keemasan.angkat dan sajikan--,3,/id/resep/4409812-mendol-tempe
Tumis cumis tempe cabai hijau,1/2 cumi asin--1 buah tempe--Bumbu yg d'haluskan:--Cabai hijau besar/kriting--Bawang merah--Bawang putih--,"Cuci terdahalu cumi hingga bersih...lalu rebus sbntr kira"" 5mnt.--Potong tempe sesuai selera lalu goreng stngah mtang.--Rebus bumbu terlebih dahulu sblm dhaluskn...cabai,bawang merah,dan bawang putih sbntr.--Lalu ulak bumbu...setelah itu tumis bumbu hingga harum...msukan cumi dan tempe ksih penyedap rasa secekup'a...angkt dan hidangkn.--Slmt mncoba ibu""--",7,/id/resep/4409330-tumis-cumis-tempe-cabai-hijau
Perkedel Tempe #kisahkasihcookpad,"300 gram tempe--1 butir telur kocok lepas--1 batang daun bawang, iris2--1 sdt seledri iris halus--Secukupnya gula, garam dan lada bubuk--Bumbu halus (goreng/tumis dulu baru di haluskan):--3 siung bawang putih--4 siung bawang merah--",Kukus tempe 20-25 menit.--Lalu haluskan selagi panas.--Goreng bawang putih dan merah lalu haluskan.--Masukan semua bahan lalu aduk rata.--Bentuk sesuai selera. Saya pakai centong sayur.--Saya jadi 11 buah. Lumayan banyak buat berdua😉--Goreng dalam minyak yg sudah panas hingga matang. Jangan balik sebelum kering nanti hancur. Balik sekali saja ya biar perkedel tempenya kering dan tidak berminyak. Angkat lalu tiriskan.--Sajikan. Enak sekaliiiii😍😍--,139,/id/resep/4408411-perkedel-tempe-kisahkasihcookpad
Tempe sambel 🍛,2 bungkus tempe--5 siung bawang putih--3 siung bawang merah--15 cabe rawit atau sesuai selera--secukupnya Garam--Penyedap rasa (bila perlu)--2 sdm Kecap manis--,"Potong dadu tempe tersebut,kemudian goreng hingga kering--Haluskan semua bahan (jangan sampai terlalu halus),lumatkan tempe tersebut pada sambal yg dibuat hingga berbentuk potongan kecil--Kemudian goreng sampai kering--Tambahkan kecap manis selesai sikap dihidangkan 😋😋--Selamat mencoba 🙇--",1,/id/resep/4409187-tempe-sambel-%F0%9F%8D%9B
Tempe dan kentang balado tanpa tomat,1/2 papan tempe--1 bh kentang--5 bh cabai merah keriting--4 bh cabai rawit jawa--3 siung bawang putih--4 siung bawang merah--1 bh cabai hijau--Sedikit terasi--secukupnya Garam--secukupnya Gula--Penyedap rasa--,"Iris tempe tipis2 dan kentang tipis2. Dan goreng hingga sedikit garing--Haluskan cabai, bawang merah, putih, terasi. Dan beri garam dan gula secukupnya--Panaskan penggorengan dan beri sedikit minyak untuk menumis bumbu. Masukkan bahan yang telah dihaluskan. Tumis hingga harum masukkan cabai hijau yang telah diiris--Beri penyedap rasa sesuai selera. Dan masukkan tempe dan kentang yang telah digoreng. Aduk hingga rata--Jika sudah tercampur rata tambahkan sedikit air dan minyak agar tidak kering--Tes rasa. Dan sajikan :)--",8,/id/resep/4409303-tempe-dan-kentang-balado-tanpa-tomat
Kering Tempe Kentang,4 balok tempe iris tipis-tipis--2 buah kentang ukuran besar iris tipis-tipis--1 ruas jempol lengkuas geprek--5 lbr daun jeruk--2 buah asam matang--1 buah/batok gula merah serut kasar--100 ml air--secukupnya Garam--Bumbu halus :--20 siung bawang merah--9 siung bawang putih--1 ons lombok merah--15 buah cabe rawit (selera)--,"Goreng terlebih dahulu tempe dan kentang secara bertahap dan terpisah. Goreng sampai coklat kekuningan lalu tiriskan. Distep ini perlu banyak minyak sampai tempe kentang tenggelam dan saat menggoreng gunakan api besar.--Haluskan bahan bumbu, kalau saya pakai blender. Saat mau blender bahan bumbu, beri minyak kurleb 50 ml agar cepat halus. Mau diulek monggo tidak apa2 😉--Siapkan wajan tidak perlu minyak, karna td saat blender bumbu sudah pakai minyak. (Kalau bahan bumbu tadi diulek, saat menumis HARUS pakai minyak yess) Tumis bumbu tsb, daun jeruk dan laos sampai harum.--Masukan tempe dan kentang yang sdh digoreng tadi aduk rata agar tercampur bumbunya. Distep ini saat menumis, usahakan pakai api sedang agar tidak gosong tempe dan kentangnya.--Lalu masukan air, gula merah, asam dan garam. Aduk rata terus sampai gula dan asamnya mencair dan bumbu meresap lengket di tempa kentangnya.--Cicipi rasa kalau sudah pas, masak beberapakali adukan sampai tanek lalu sajikan--Pakai nasi kuning atau nasi uduk lebih enak pastinya 😁--Kalau buat banyak bisa disimpan ditempat kedap udara 😊--",25,/id/resep/4408909-kering-tempe-kentang
Bakso Goreng Tempe,"1/2 papan tempe--150 gr ayam yg sdh dihaluskan--3 sdm munjung tepung tapioka/kanji--3 siung bawang putih,haluskan--1/4 sdt lada bubuk--1 butir telur--secukupnya kaldu,garam,gula--1 liter air putih (buat rebusan)--minyak untuk menggoreng--Taburan :--secukupnya daun bawang  iris2 tipis--","Tumbuk/haluskan tempe,lalu campurkan dengan ayam yg sdh dihaluskan, tepung tapioka, 1 butir telur,bawang putih,lada bubuk,garam,kaldu,gula aduk rata. koreksi rasa,kemudian bentuk bulat2, adonan lakukan hingga habis.--Rebus air hingga mendidih,beri 1 sdm minyak sayur agar adonan bakso tidak lengket.kemudian masukkan adonan bakso tempe,biarkan hingga mengapung,angkat dan tiriskan.--Panaskan minyak,goreng bakso tempe hingga matang kecoklatan.--Bakso goreng tempe siap dinikmati dg cocolan saos.--",18,/id/resep/4401544-bakso-goreng-tempe
Tempe meled,1 papan tempe--Bahan sambel--Cabe rawit (option) aku cuma pake 7 cabe rawit cabe merah 1--5 siung bawang merah--2 siung bawang putih--1 buah tomat--Garam dan penyedap secukup nya--bahan tepung--2 siung bawang merah--1 siung bawang putih--secukupnya Ketumbar--Kunyit--3 sdm terigu--2 sdm tepung beras--secukupnya Air--Garam dan penyedap--1/2 sachet merica bubuk--,"Potong tempe sesuai selera belah tengah nya untuk isian sambel--Uleg semua bahan sambel mulai dari cabe bawang dan tomat tumis hingga harum--Isi sambal ke tempe yang sudah di belah tengahnya (jangan sampai putus)--Campurkan terigu tepung beras merica bubuk garam dan penyedap tambahkan air secukupnya dan campurkan dengan bawang merah,bawang putih kunyit, ketumbar yang sudah di haluskan aduk rata--Panaskan minyak. Goreng sampai kecoklatan.. Tiriskan--",6,/id/resep/4407881-tempe-meled
Oseng ati tempe,"200 gr hati sapi,rebus potong kotak--1 papan tempe--3 bawang merah--2 bawang putih--3 cabai hijau potong2--1 sdm saos tiram--4 sdm kecap manis--1 sdt kecap asin--1 sdt kecap inggris--","Tumis bawang merah bawang putih yang diiris tipis sampai kering,lalu masukkan cabai hijau--Tambahkan ati sapi dan tempe. Masukkan saos saos dan beri setengah gelas air.--Tambahkan kecap dan masak sampai rasanya pas. Buat yang suka asin bisa ditambahkan takaran kecap asinnya atau garam. Saya mengurangi konsumsi garam untuk mencegah hipertensi selama kehamilan. Tetap sehat ya semuanya--",6,/id/resep/4407629-oseng-ati-tempe
Bacem Tahu&Tempe Tanpa Kecap (a.k.a Bacem ndeso),5 tahu kulit--1/2 papan tempe--1 ruas lengkuas--1 daun salam--Secukupnya garam--Secukupnya penyedap (optional)--Secukupnya gula pasir--Secukupnya air--Bumbu halus;--2 bawang putih--4 bawang merah--2 kemiri--1 sdt ketumbar--1 bulatan gula jawa--,"Tata tahu, tempe dalam panci/wajan.--Masukkan bumbu halus, daun salam, lengkuas, air, garam, penyedap, gula pasir.--Masak sampai air menyusut. Jagan lupa cek rasa.--Bisa langsung dinikmati, bisa juga digoreng.--",10,/id/resep/4403514-bacem-tahutempe-tanpa-kecap-aka-bacem-ndeso
Tempe Tahu Crispy Black paper,2 buah Tahu Putih (potong dadu jadi 16)--1 Potong tempe (potong dadu jadi 6)--1 buah Wortel (potong memanjang seperti korek api)--Bahan Saus :--1/2 buah paprika merah (potong kotak)--1/2 buah paprika kuning (potong kotak)--2 siung bawang putih (iris tipis)--2 buah cabe rawit merah (iris tipis)--1 buah bawang bombai kecil--Kecap manis--Kecap asin--Gula pasir--Garam--Lada hitam (tumbuk halus)--Air--Tepung maizena--Bahan tambahan :--Tepung bumbu serbaguna untuk menggoreng tahu dan tempe--Minyak goreng--,"Potong dadu tahu dan tempe, celupkan pada tepung bumbu yang sudah diberi air.--Panaskan minyak untuk menggoreng--Setelah minyak panas, masukan tahu dan tempe yang sudah di celupkan pada bumbu ke dalam minyak, lalu goreng sampai warna kuning kecoklatan.--Setelah matang, angkat dan tiriskan.--Untuk saus, tumis bawang putih, bawang bombai, cabai, sampai tercium bau khas.. Lalu masukkan Wortel dan paprika, beri sedikit air. Diamkan sebentar.--Lalu setelah itu masukkan kecap manis, kecap asin, Gula pasir, garam secukupnya sesuai selera dan rasanya pas.--Kemudian beri tepung maizena yang sudah dicairkan dengan air, pada bahan Saus. Aduk merata sampai saus mengental. Tes rasa....--Jika rasa sudah pas, masukan tahu dan tempe Crispy kedalam tumisan saus. Lalu beri lada hitam yang sudah di tumbuk. Aduk hingga merata--Diamkan sebentar sampai saus meresap pada tahu dan tempe Crispy.--Setelah matang, angkat dan sajikan.--Silahkan di coba--",7,/id/resep/4401962-tempe-tahu-crispy-black-paper
Sayur labu tempe,"1 buah labu siam--1/2 papan tempe--1 bgks santan kara kecil--1 ruas lengkuas--2 lembar daun salam--1 batang serai--1 batang daun bawang--Sejumput garam, lada, gula dan penyedap--secukupnya Air--Bumbu halus--7 buah cabai merah--5 siung bawang merah--3 siung bawang putih--2 biji kemiri--","Haluskan bumbu, lalu sangrai hingga harum, tambahkan salam, lengkuas dab batang sereh--Tunggu mendidih. Masukkan tempe yg sudah diiris kecil kecil.--Tunggi sampai mendidih lagi, Lalu tambahkan labu yg sdh diiris kecil kecil.--Setelah sdh sedikit layu masukkan santan, lalu taburi garam, lada, gula dan penyedap rasa. Terakhir masukkan daun bawang.--Setelah mendidih, tes rasa...--Jika sudah pas, hidangkan beri taburan bawang goreng.--",5,/id/resep/4401492-sayur-labu-tempe
Empal Daging Tahu Tempe khas Serang Banten,"1/2 kg daging sapi--6 potong tempe--6 potong tahu goreng--1 bks santan kara segitiga--6 siung bawang merah (iris halus)--2 siung bawang putih (haluskan)--4 buah cabe merah besar (rebus, haluskan)--3 ruas lengkuas (geprek)--3 lembar daun salam--1 butir asam jawa--secukupnya garam gula--secukupnya minyak untuk menumis--","Rebus daging hingga empuk, tambahkan garam n asam jawa agar meresap dalam daging.--Rebus cabe merah sekalian bersama daging. setelah cabe layu, haluskan bersama bawang putih--Iris halus bawang merah lalu tumis sampai harum. Tambahkan cabe, lengkuas dan bawang putih yg sudah dihaluskan, tumis sampai harum. Sisihkan.--Sekira daging sudah empuk, masukan tumisan bumbu kedalam rebusan daging. Tambahkan tahu, tempe, salam, laos, garam n gula. Rebus hingga bumbu meresap.--Tambahkan santan kara, aduk, koreksi rasa asin manis sesuai selera.--Siap disajikan dengan taburan bawang goreng..yumm--",5,/id/resep/4397840-empal-daging-tahu-tempe-khas-serang-banten
Sate tempe,Secukupnya tempe potong dadu--Sesuai selera cabe--5 butir bawang merah/sesuaikan--5 butir bawang putih/sesuaikan--5 butir kemiri--Sejempol lengkuas--2 atau 3 tangkai daun jeruk (4-6lbr)--Secukupnya gula merah--Secukupnya madu--Secukupnya kecap manis (bs skip)--Secukupnya garam--,"Blender semua bumbu termasuk daun jeruk, lalu tumis..kemudian masukan tempe yg telah dipotong dadu, tambah sedikit air.. aduk sedikit sampai merata..sampai bumbu meresap--Setelah dingin tusuk2 tempe ke lidi..lalu bakar (lg malas bkin2 arang apalagi ini bikinnya dadakan, so pake teflon ajja :-) )--",9,/id/resep/4400983-sate-tempe
Tempe kukus sambal tomat,1/2 papan tempe--10 buah cabe rawit hijau--3 buah cabe merah--1 buah tomat agak besar--8 siung bawang merah--3 siung bawang putih--1 sdt Trasi bakar--1 1/2 sdt garam--1 sdt gula merah--,"Kukus tempe, tomat, bawang merah putih dan cabe, ak taruh di atas magic com pas bareng masak nasi--Uleg bahan yang dikukus kecuali tempe bersama Trasi, garam dan gula merah--Setelah sambal jadi, penyet tempe, hmmm.... Enak--",6,/id/resep/4401349-tempe-kukus-sambal-tomat
Tempe lummer mozzarela,500 gr tempe--50 gr mozzarela--Adonan mendoan--1 ons tepung terigu--50 gr daun bawang--200 ml air--1 butir telor--200 gr tepung roti--secukupnya penyedap--Minyak untuk menggoreng--,"Campur adonan seperti; tepung terigu,daun bawang,telor,air dan penyedap secukupnya--Belah tempe menjadi 4 bagian.--Masukkan mozzarella kedalam tempe dan masukkan tempe kedalam adonan--Kemudian masukkan tempe yg sudah dilumuri adonan kedalam tepung roti.--Panaskan minyak dengan api sedang agar t.roti tidak mudah hangus.--Tiriskan sejenak lalu siap dihidangkan.--",5,/id/resep/4401303-tempe-lummer-mozzarela
Tumis kacang panjang tempe,"Kacang panjang yang masih seger--Tempe--3 siung bawang merah--2 siung bawang putih--Cabe merah dan cabe hijau--Rebon udang sedikit (optional)--Sejumput garam--Sejumput gula pasir atau gula merah (kalo aku gula merah ya)--2 butir, kemiri--Penyedap rasa--Bumbu dapur (daun salam, jahe,sereh, lengkuas)--Minyak untuk menumis--","Potong potong kacang panjang (cuci betsih)--Potong potong dadu tempe--Uleg, bawang merah, bawang putih, kemiri, sedikit terasi dan Gula Garam, rebon--Potong serong cabe merah dan cabe hijau--Geprek bumbu dapur--Tumis bahan ulugan, dan cabe, masukan bumbu dapur.--Setelah bumbu berabu harum masukan kacang panjang dan tempe, tes rasa. Masukan sedikit air untuk mematangkan, tutup samapi matang--Selamat mencoba--",1,/id/resep/3869968-tumis-kacang-panjang-tempe
Tempe bacem sederhana,1 potong tempe--1 Sereh (jika ada)--2 lembar daun salam--Secukupnya gula merah--Secukupnya garam--Secukupnya masako--jika suka Mecin--Secukupnya asam--Air kelapa (kalo gada bisa pk air biasa)--Minyak goreng--bumbu ulek:--3 siung Bawang merah--1 siung bawang putih--Secukupnya ketumbar--,"Taruh tempe dikuali--Masukan bumbu yg sdh di ulek--Tambah salam, sereh, garam, masako, gula merah, mecin dan asem--Tambahkan air kelapa nyalakan kompor aduk semua bahan di kuali--Biarkan hingga air menyusut sambil di aduk sesekali agar merata--Jika sdh asat tambahkan minyak goreng aduk kembali beberapa saat--Kemudian angkat--Bisa dimakan gitu ajah ataw di goreng lagi--",6,/id/resep/4400522-tempe-bacem-sederhana
Tempe Kejutan,1/2 papan tempe--Tepung serbaguna (seduh hingga mjd adonan utk tempe tepung)--Air es--10 bh Cabe rawit ijo (atau sesuai selera)--2 siung Bawang putih--secukupnya Garam gula--Penyedap (optional)--Minyak utk menggoreng--,"Potong2 tempe dng panjang sesuai selera..... Dng ketebalan +/- 1cm. Belah 2 tanpa putus.--Ulek rawit, bawang putih, sdkt penyedap, garam, gula. (Pas-kan rasanya)--Balurkan rawit yg telah dihaluskan ke tengah2 belahan tempe tadi--Celupkan ke dalam adonan tepung serbaguna--Goreng dng api sedang, angkat jika sdh matang. Tempe kejutan siap disajikan--",4,/id/resep/4400444-tempe-kejutan
Tempe melet (isi sambal),"10 potong tempe (potong dgn ketebalan 1 cm)--200 gram tepung terigu--2 batang daun bawang--secukupnya Air--Garam--Penyedap rasa--Bumbu adonan tepung:--0,5 cm kunyit--1/2 sdt ketumbar(bagi yang suka)--2 buah bawang putih--Sambal:--10 buah cabai rawit--2 buah bawang merah--1 sdt garam, penyedap rasa dan gula--Minyak untuk menggoreng--","Buat Lubang ditengah tempe--Ulek bahan sambal--Ulek bumbu adonan, ulek bawang putih, kunyit, dan ketumbar, lalu campur terigu, air, dan daun bawang beri garam penyedap lalu koreksi rasa--Isi tempe yang sudah dilubangi dengan sambal--Celupkan tempe ke adonan kemudian goreng di minyak panas dan api sedang--Tempe kekinian siap disajikan 😋--",8,/id/resep/4372054-tempe-melet-isi-sambal
